V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,A007291,250,ML,2,100,1234,W. CHICAGO,IL,ALPHA,6.5,1.7,2.7,PCI/L,2001-09-28,R,,,Gross Alpha
DRINKING WATER,A007291,.5,L,22,1000,1234,W. CHICAGO,IL,U234,.81,.068,.024,PCI/L,2001-11-28,R,245500,Y,Uranium-234
DRINKING WATER,A007291,.5,L,16,1000,1234,W. CHICAGO,IL,PU238,.002,.017,.068,PCI/L,2001-12-06,R,87.75,Y,Plutonium-238
DRINKING WATER,A007292,1,L,9,1000,140,MORRIS,IL,CS137,,,4.5,PCI/L,2000-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,A007292,1,L,9,1000,140,MORRIS,IL,RA226,,,81,PCI/L,2000-07-01,R,1600,Y,Radium-226
DRINKING WATER,A007292,1,L,9,1000,140,MORRIS,IL,RA228,,,18,PCI/L,2000-07-01,R,5.75,Y,Radium-228
DRINKING WATER,A007292,.5,L,16,1000,140,MORRIS,IL,PU238,.014,.014,.053,PCI/L,2001-12-06,R,87.75,Y,Plutonium-238
DRINKING WATER,A200087,.01,L,122,100,97,BALTIMORE,MD,H3,22,40,130,PCI/L,2002-01-07,R,12.312,Y,Tritium
DRINKING WATER,A200124,.01,L,122,100,261,PORT GIBSON,MS,H3,57,41,140,PCI/L,2002-01-08,R,12.312,Y,Tritium
DRINKING WATER,A105908,.5,L,131,1000,43,LAS VEGAS,NV,U234,2.41,.11,.0087,PCI/L,2003-06-25,R,245500,Y,Uranium-234
DRINKING WATER,A105908,.5,L,131,1000,43,LAS VEGAS,NV,U235,.097,.019,.01,PCI/L,2003-06-25,R,703800000,Y,Uranium-235
DRINKING WATER,A105908,.5,L,125,1000,43,LAS VEGAS,NV,PU238,-.012914,.012,.054,PCI/L,2003-06-23,R,87.75,Y,Plutonium-238
DRINKING WATER,A101615,.01,L,10,100,28,RICHLAND,WA,H3,40,39,130,PCI/L,2001-04-09,R,12.312,Y,Tritium
DRINKING WATER,A101616,.01,L,10,100,3938,ASHLAND,VA,H3,2,39,130,PCI/L,2001-04-10,R,12.312,Y,Tritium
DRINKING WATER,A100906,.01,L,10,100,149,SANTA FE,NM,H3,-31.898,36,130,PCI/L,2001-02-20,R,12.312,Y,Tritium
DRINKING WATER,A100966,.01,L,10,100,2748,OAK RIDGE,TN,H3,-17.491,36,120,PCI/L,2001-02-22,R,12.312,Y,Tritium
